id,country,city,zone,address,latitude,longitude,initialOwner
262,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
265,italy,milano,lorenteggio,via almerico da schio 3,45.4494718,9.1389881,
266,italy,milano,lodi,viale umbria 18,45.5285656,9.2725781,
267,italy,milano,de angeli,viale san gimignano 8,45.4545978,9.1360082,
268,italy,milano,xxii marzo,viale corsica 68,45.4622258,9.2327739,
269,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
272,italy,milano,forze armate,via prato 16,45.4787304,9.353601,
273,italy,milano,garibaldi,via alserio 1,45.4914399,9.1840375,
274,italy,milano,brera,via daniele manin 33,45.3850768,8.91294,
275,italy,milano,repubblica,via napo torriani 22,45.5307298,9.3318607,
277,italy,milano,centro storico,via bertani 10,45.5986432,8.9482085,
278,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
280,italy,milano,indipendenza,via leopoldo cicognara 8,45.4697519,9.2215868,
282,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
283,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
284,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
286,italy,milano,porta romana,via andrea maffei 6,45.4571537,9.2075708,
287,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
288,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
289,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
290,italy,milano,de angeli,via domenichino 3a,45.4235275,9.3630993,
292,italy,milano,porta romana,via clusone 2,45.4575524,9.207802,
293,italy,milano,porta romana,via antonio fogazzaro 9,45.3862006,8.9207442,
294,italy,milano,solari,piazzale giovanni de agostini 3,45.4583351,9.1563896,
295,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
296,italy,milano,solari,via andrea solari 48,45.456327,9.1664187,
297,italy,milano,corvetto,piazzale luigi emanuele corvetto 7,45.4399656,9.2247501,
298,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
299,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
300,italy,milano,porta romana,via andrea maffei 10,45.4571537,9.2075708,
301,italy,milano,porta romana,via antonio fogazzaro 9,45.3862006,8.9207442,
302,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
303,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
304,italy,milano,porta romana,viale umbria 18,45.5285656,9.2725781,
305,italy,milano,porta romana,viale umbria 18,45.5285656,9.2725781,
306,italy,milano,porta romana,viale emilio caldara 33,45.4538413,9.2027731,
307,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
308,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
309,italy,milano,de angeli,piazza ernesto de angeli 2,45.4663545,9.1508133,
310,italy,milano,s. siro,via alfonso capecelatro 17,45.4743607,9.1257926,
312,italy,milano,maciachini,via mac mahon 80,45.4702854,8.8320393,
313,italy,milano,loreto,piazza aspromonte 43,45.4842418,9.2211721,
314,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
315,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
317,italy,milano,porta romana,via clusone 2,45.4575524,9.207802,
318,italy,milano,porta romana,via clusone 2,45.4575524,9.207802,
321,italy,milano,repubblica,via raimondo franchetti 4,45.47974,9.2000883,
325,italy,milano,bocconi,via lodovico mancini 15,45.4623592,9.2097601,
326,italy,milano,bocconi,via lodovico mancini 15,45.4623592,9.2097601,
327,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
329,italy,milano,lorenteggio,via almerico da schio 3,45.4494718,9.1389881,
330,italy,milano,lorenteggio,via almerico da schio 3,45.4494718,9.1389881,
331,italy,milano,loreto,piazza aspromonte 53,45.4842418,9.2211721,
333,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
334,italy,milano,porta romana,lazzaro papi 20,45.4502867,9.2068204,
335,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
336,italy,milano,corvetto,via enrico caviglia 5,45.5364244,9.0343325,
337,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
338,italy,milano,porta romana,viale umbria 18,45.5285656,9.2725781,
339,italy,milano,lorenteggio,via almerico da schio 2,45.4494718,9.1389881,
341,italy,milano,porta romana,corso di porta vittoria 58,45.4624694,9.1978834,
349,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
352,italy,milano,centro storico,viale beatrice d'este 32,45.4520294,9.1911302,
357,italy,milano,centro storico,corso di porta ticinese 40,45.4539137,9.1804294,
358,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
360,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
363,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
364,italy,milano,repubblica,via raimondo franchetti 4,45.47974,9.2000883,
365,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
367,italy,milano,lorenteggio,via almerico da schio 3,45.4494718,9.1389881,
370,italy,milano,porta romana,viale umbria 18,45.5285656,9.2725781,
372,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
373,italy,milano,porta romana,viale umbria 16,45.5285656,9.2725781,
374,italy,milano,centro storico,corso di porta vittoria ,45.4624694,9.1978834,
376,italy,milano,porta romana,viale umbria 18,45.5285656,9.2725781,
379,italy,milano,vercelli,via mario pagano 48,45.428669,9.0460465,
386,italy,milano,loreto,piazza aspromonte 53,45.4842418,9.2211721,
387,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
